Sample,egg,8cell,64cell,blastula,gastrula,prism,pluteus
Mfran.01,0,1,0,0,0,0,0
Mfran.02,0,1,0,0,0,0,0
Mfran.03,0,1,0,0,0,0,0
Mfran.04,0,0,1,0,0,0,0
Mfran.05,0,0,1,0,0,0,0
Mfran.06,0,0,1,0,0,0,0
Mfran.07,0,0,0,1,0,0,0
Mfran.08,0,0,0,1,0,0,0
Mfran.09,0,0,0,1,0,0,0
Mfran.10,1,0,0,0,0,0,0
Mfran.11,1,0,0,0,0,0,0
Mfran.12,1,0,0,0,0,0,0
Mfran.13,0,0,0,0,1,0,0
Mfran.14,0,0,0,0,1,0,0
Mfran.15,0,0,0,0,1,0,0
Mfran.16,0,0,0,0,0,1,0
Mfran.17,0,0,0,0,0,1,0
Mfran.18,0,0,0,0,0,1,0
Mfran.19,0,0,0,0,0,0,1
Mfran.20,0,0,0,0,0,0,1
Mfran.21,0,0,0,0,0,0,1